RefDes     X          Y          Rot.       Exact     (FREE)    Side
RN7        5068.5623  3100.0000  000        EXACT     (FREE)    Primary Component Side        
RN8        5694.9541  3100.0000  000        EXACT     (FREE)    Primary Component Side        
RN9        928.2783   2074.8861  180        EXACT     (FREE)    Primary Component Side        
RN10       5706.2500  5812.5000  180        EXACT     (FREE)    Primary Component Side        
RN11       3035.6050  5717.0838  000        EXACT     (FREE)    Primary Component Side        
RN12       5613.6524  8096.0637  180        EXACT     (FREE)    Primary Component Side        
RN13       5667.7750  7180.2185  180        EXACT     (FREE)    Primary Component Side        
RN14       5431.3526  7182.5827  180        EXACT     (FREE)    Primary Component Side        
S1         1141.4580  978.7529   000        EXACT     (FREE)    Primary Component Side        
S2         5368.7500  7012.5000  270        EXACT     (FREE)    Primary Component Side        
T1         2309.0000  562.0000   000        EXACT     (FREE)    Primary Component Side        
U1         1156.2500  1581.2500  090        EXACT     (FREE)    Primary Component Side        
U2         4931.2500  8400.0000  090        EXACT     (FREE)    Primary Component Side        
U3         4307.0900  1550.0000  180        EXACT     (FREE)    Primary Component Side        
U4         140.5500   218.5000   000        EXACT     (FREE)    Primary Component Side        
U5         140.5500   8968.5000  000        EXACT     (FREE)    Primary Component Side        
U6         2749.2618  2044.4526  000        EXACT     (FREE)    Primary Component Side        
U8         410.0000   1256.2500  090        EXACT     (FREE)    Primary Component Side        
U9         531.2500   968.7500   090        EXACT     (FREE)    Primary Component Side        
U10        2749.8852  5204.6918  000        EXACT     (FREE)    Primary Component Side        
U11        4143.7500  4762.5000  000        EXACT     (FREE)    Primary Component Side        
U12        3288.6164  5685.6468  270        EXACT     (FREE)    Primary Component Side        
U13        127.0000   2081.2500  090        EXACT     (FREE)    Primary Component Side        
U14        2756.2500  2368.7500  180        EXACT     (FREE)    Primary Component Side        
U15        4968.7500  6425.0000  090        EXACT     (FREE)    Primary Component Side        
U16        5975.0000  5256.2500  000        EXACT     (FREE)    Primary Component Side        
U17        1439.4779  1109.5099  000        EXACT     (FREE)    Primary Component Side        
U18        5826.0000  4498.0000  090        EXACT     (FREE)    Primary Component Side        
U20        1375.9801  1903.9702  270        EXACT     (FREE)    Primary Component Side        
U45        375.0000   550.0000   270        EXACT     (FREE)    Primary Component Side        
UR5        4908.0000  1048.0000  000        EXACT     (FREE)    Secondary Component Side      
UR6        1034.0000  1238.0000  000        EXACT     (FREE)    Secondary Component Side      
UR7        599.0000   8688.0000  000        EXACT     (FREE)    Primary Component Side        
UR8        5475.0000  1062.5000  000        EXACT     (FREE)    Primary Component Side        
UR9        1034.0000  1238.0000  000        EXACT     (FREE)    Primary Component Side        
UR10       5249.0000  8945.0000  000        EXACT     (FREE)    Primary Component Side        
UR11       5251.0000  8945.0000  000        EXACT     (FREE)    Secondary Component Side      
UR12       600.0000   8688.0000  000        EXACT     (FREE)    Secondary Component Side      
US1        4700.0000  8893.7500  000        EXACT     (FREE)    Primary Component Side        
US2        5168.7500  8612.5000  270        EXACT     (FREE)    Primary Component Side        
US3        4225.0000  8625.0000  000        EXACT     (FREE)    Primary Component Side        
ZD2        5631.2500  8362.5000  270        EXACT     (FREE)    Primary Component Side        
ZD3        5631.2500  8593.7500  270        EXACT     (FREE)    Primary Component Side        
